
2023/07/15 (12:11:33) | ===> btop++ v.1.2.13
2023/07/15 (12:11:33) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/18 (15:12:54) | ===> btop++ v.1.2.13
2023/07/18 (15:12:54) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/04 (10:36:53) | ===> btop++ v.1.2.13
2023/08/04 (10:36:53) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/04 (19:44:03) | ===> btop++ v.1.2.13
2023/08/04 (19:44:03) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/04 (19:44:53) | ===> btop++ v.1.2.13
2023/08/04 (19:44:53) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/07 (10:25:55) | ===> btop++ v.1.2.13
2023/11/07 (10:25:55) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/07 (10:26:44) | ===> btop++ v.1.2.13
2023/11/07 (10:26:44) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/15 (15:33:54) | ===> btop++ v.1.2.13
2023/11/15 (15:33:54) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/17 (14:46:07) | ===> btop++ v.1.2.13
2023/11/17 (14:46:07) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/17 (14:46:38) | ===> btop++ v.1.2.13
2023/11/17 (14:46:38) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/17 (15:09:07) | ===> btop++ v.1.2.13
2023/11/17 (15:09:07) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/09 (11:19:04) | ===> btop++ v.1.2.13
2024/01/09 (11:19:04) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/09 (13:26:41) | ===> btop++ v.1.2.13
2024/01/09 (13:26:41) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/11 (08:59:15) | ===> btop++ v.1.2.13
2024/01/11 (08:59:15) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/13 (22:22:59) | ===> btop++ v.1.2.13
2024/01/13 (22:22:59) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/15 (11:27:05) | ===> btop++ v.1.2.13
2024/01/15 (11:27:05) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/15 (11:29:32) | ===> btop++ v.1.2.13
2024/01/15 (11:29:32) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/15 (11:43:30) | ===> btop++ v.1.2.13
2024/01/15 (11:43:30) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/15 (13:00:48) | ===> btop++ v.1.2.13
2024/01/15 (13:00:48) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/15 (17:09:37) | ===> btop++ v.1.2.13
2024/01/15 (17:09:37) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/15 (17:10:10) | ===> btop++ v.1.2.13
2024/01/15 (17:10:10) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/15 (17:23:26) | ===> btop++ v.1.2.13
2024/01/15 (17:23:26) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/15 (22:59:45) | ===> btop++ v.1.2.13
2024/01/15 (22:59:45) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/16 (09:10:32) | ===> btop++ v.1.2.13
2024/01/16 (09:10:32) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/16 (10:48:21) | ===> btop++ v.1.2.13
2024/01/16 (10:48:21) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/01 (16:36:38) | ===> btop++ v.1.2.13
2024/02/01 (16:36:38) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
